id,left,top,right,bottom
"13188",6047004.62723964,3741882.96101881,6047235.56734732,3741682.96101881
"13191",6047004.62723964,3741282.96101881,6047235.56734732,3741082.96101881
"13190",6047004.62723964,3741482.96101881,6047235.56734732,3741282.96101881
"13193",6047004.62723964,3740882.96101881,6047235.56734732,3740682.96101881
"13192",6047004.62723964,3741082.96101881,6047235.56734732,3740882.96101881
"21385",6056184.49651975,3755982.96101881,6056415.43662743,3755782.96101881
"21387",6056184.49651975,3755582.96101881,6056415.43662743,3755382.96101881
"21386",6056184.49651975,3755782.96101881,6056415.43662743,3755582.96101881
"21389",6056184.49651975,3755182.96101881,6056415.43662743,3754982.96101881
"21388",6056184.49651975,3755382.96101881,6056415.43662743,3755182.96101881
"21391",6056184.49651975,3754782.96101881,6056415.43662743,3754582.96101881
"21390",6056184.49651975,3754982.96101881,6056415.43662743,3754782.96101881
"21393",6056184.49651975,3754382.96101881,6056415.43662743,3754182.96101881
"21392",6056184.49651975,3754582.96101881,6056415.43662743,3754382.96101881
"21395",6056184.49651975,3753982.96101881,6056415.43662743,3753782.96101881
"21394",6056184.49651975,3754182.96101881,6056415.43662743,3753982.96101881
"21397",6056184.49651975,3753582.96101881,6056415.43662743,3753382.96101881
"21396",6056184.49651975,3753782.96101881,6056415.43662743,3753582.96101881
"21399",6056184.49651975,3753182.96101881,6056415.43662743,3752982.96101881
"21398",6056184.49651975,3753382.96101881,6056415.43662743,3753182.96101881
"21401",6056184.49651975,3752782.96101881,6056415.43662743,3752582.96101881
"21400",6056184.49651975,3752982.96101881,6056415.43662743,3752782.96101881
"21403",6056184.49651975,3752382.96101881,6056415.43662743,3752182.96101881
"21402",6056184.49651975,3752582.96101881,6056415.43662743,3752382.96101881
"21405",6056184.49651975,3751982.96101881,6056415.43662743,3751782.96101881
"21404",6056184.49651975,3752182.96101881,6056415.43662743,3751982.96101881
"21407",6056184.49651975,3751582.96101881,6056415.43662743,3751382.96101881
"21406",6056184.49651975,3751782.96101881,6056415.43662743,3751582.96101881
"21409",6056184.49651975,3751182.96101881,6056415.43662743,3750982.96101881
"21408",6056184.49651975,3751382.96101881,6056415.43662743,3751182.96101881
"21411",6056184.49651975,3750782.96101881,6056415.43662743,3750582.96101881
"21410",6056184.49651975,3750982.96101881,6056415.43662743,3750782.96101881
"21413",6056184.49651975,3750382.96101881,6056415.43662743,3750182.96101881
"21412",6056184.49651975,3750582.96101881,6056415.43662743,3750382.96101881
"21415",6056184.49651975,3749982.96101881,6056415.43662743,3749782.96101881
"21414",6056184.49651975,3750182.96101881,6056415.43662743,3749982.96101881
"21417",6056184.49651975,3749582.96101881,6056415.43662743,3749382.96101881
"21416",6056184.49651975,3749782.96101881,6056415.43662743,3749582.96101881
"21419",6056184.49651975,3749182.96101881,6056415.43662743,3748982.96101881
"21418",6056184.49651975,3749382.96101881,6056415.43662743,3749182.96101881
"21421",6056184.49651975,3748782.96101881,6056415.43662743,3748582.96101881
"21420",6056184.49651975,3748982.96101881,6056415.43662743,3748782.96101881
"21423",6056184.49651975,3748382.96101881,6056415.43662743,3748182.96101881
"21422",6056184.49651975,3748582.96101881,6056415.43662743,3748382.96101881
"21425",6056184.49651975,3747982.96101881,6056415.43662743,3747782.96101881
