name,lon,lat,code,fclass,osm_id
آت راد فود,54.37675810108528,31.826821006861746,2302,fast_food,1243988916
شهرداری حمیدیا,54.390196631447104,31.83409117846767,2008,town_hall,1245763770
ایستگاه شماره 2 آتش نشانی,54.390101772547546,31.833735064778736,2002,fire_station,1245764137
قطعه نام آوران,54.391090601546075,31.928867585730522,2015,graveyard,1249436769
بوستان,54.36596685358952,31.816367481455472,2204,park,1250869910
آب انبار فهادان,54.37128003620279,31.905160882964438,2721,attraction,1270438919
زورخانه فهادان,54.37116626751956,31.90530564707324,2721,attraction,1270438920
خانه نواب وکیل,54.37072897979179,31.904543177166374,2721,attraction,17437293
خانه حیرانی,54.370593380125044,31.90429272343572,2721,attraction,17437294
خانه ملک زاده,54.369064927786354,31.90453679036703,2721,attraction,17437300
